Covers,CBS,Odds Shark,ESPN,SR Url
TCU,TCU,TCU,TCU Horned Frogs,texas-christian
TEM,TEMPLE,Temple,Temple Owls,temple
TENN,TENN,Tennessee,Tennessee Volunteers,tennessee
TEX,TEXAS,Texas,Texas Longhorns,texas
TLSA,TULSA,Tulsa,Tulsa Golden Hurricane,tulsa
TNST,TNST,Tennessee State,Tennessee State Tigers,tennessee-state
TNTC,TNTECH,Tennessee Tech,Tennessee Tech Golden Eagles,tennessee-tech
TOL,TOLEDO,Toledo,Toledo Rockets,toledo
TOWS,TOWSON,Towson,Towson Tigers,towson
TROY,TROY,Troy,Troy Trojans,troy
TST,TRLST,Tarleton State,Tarleton Texans,tarleton-state
TTU,TXTECH,Texas Tech,Texas Tech Red Raiders,texas-tech
TULN,TULANE,Tulane,Tulane Green Wave,tulane
TXSO,TEXSO,Texas Southern,Texas Southern Tigers,texas-southern
TXST,TEXST,Texas State,Texas State Bobcats,texas-state
UAB,UAB,UAB,UAB Blazers,alabama-birmingham
UALR,ARKLR,Arkansas-Little Rock,Little Rock Trojans,arkansas-little-rock
UCD,UCDAV,UC Davis,UC Davis Aggies,california-davis
UCF,UCF,Central Florida,UCF Knights,central-florida
UCI,UCIRV,UC Irvine,UC Irvine Anteaters,california-irvine
UCLA,UCLA,UCLA,UCLA Bruins,ucla
UCRV,UCRIV,UC Riverside,UC Riverside Highlanders,california-riverside
UCSB,UCSB,UC-Santa Barbara,UC Santa Barbara Gauchos,california-santa-barbara
UCSD,CALSD,UC San Diego,UC San Diego Tritons,california-san-diego
UGA,UGA,Georgia,Georgia Bulldogs,georgia
UIC,ILLCHI,UIC,UIC Flames,illinois-chicago
UK,UK,Kentucky,Kentucky Wildcats,kentucky
ULL,UL,Louisiana-Lafayette,Louisiana Ragin' Cajuns,louisiana-lafayette
ULM,LAMON,Louisiana-Monroe,UL Monroe Warhawks,louisiana-monroe
UMASS,MASLOW,UMass-Lowell,UMass Lowell River Hawks,massachusetts-lowell
UMBC,UMBC,UMBC,UMBC Retrievers,maryland-baltimore-county
UMES,UMES,Maryland-Eastern Shore,Maryland-Eastern Shore Hawks,maryland-eastern-shore
UNC,UNC,North Carolina,North Carolina Tar Heels,north-carolina
UNCA,NCASHV,UNC Asheville,UNC Asheville Bulldogs,north-carolina-asheville
UNCG,NCGRN,UNC Greensboro,UNC Greensboro Spartans,north-carolina-greensboro
UNCO,NCOLO,Northern Colorado,Northern Colorado Bears,northern-colorado
UNCW,NCWILM,UNC Wilmington,UNC Wilmington Seahawks,north-carolina-wilmington
UND,NDAK,North Dakota,North Dakota Fighting Hawks,north-dakota
UNF,UNF,North Florida,North Florida Ospreys,north-florida
UNH,NH,New Hampshire,New Hampshire Wildcats,new-hampshire
UNI,NIOWA,Northern Iowa,Northern Iowa Panthers,northern-iowa
UNLV,UNLV,UNLV,UNLV Rebels,nevada-las-vegas
UNM,NMEX,New Mexico,New Mexico Lobos,new-mexico
UNO,NORL,New Orleans,New Orleans Privateers,new-orleans
UNT,NTEXAS,North Texas,North Texas Mean Green,north-texas
URI,RI,Rhode Island,Rhode Island Rams,rhode-island
USA,SALAB,South Alabama,South Alabama Jaguars,south-alabama
USC,USC,USC,USC Trojans,southern-california
USD,USD,San Diego,San Diego Toreros,san-diego
USF,SFLA,South Florida,South Florida Bulls,south-florida
USM,USM,Southern Mississippi,Southern Miss Golden Eagles,southern-mississippi
USU,UTAHST,Utah State,Utah State Aggies,utah-state
UTA,TXARL,Texas-Arlington,UT Arlington Mavericks,texas-arlington
UTAH,UTAH,Utah,Utah Utes,utah
UTEP,UTEP,UTEP,UTEP Miners,texas-el-paso
UTM,TNMART,Tennessee-Martin,UT Martin Skyhawks,tennessee-martin
UTRGV,TEXPA,UTRGV,UT Rio Grande Valley Vaqueros,texas-pan-american
UTSA,TXSA,UTSA,UTSA Roadrunners,texas-san-antonio
UVA,UVA,Virginia,Virginia Cavaliers,virginia
UVM,UVM,Vermont,Vermont Catamounts,vermont
UVU,UTVALL,Utah Valley,Utah Valley Wolverines,utah-valley
VALP,VALPO,Valparaiso,Valparaiso Beacons,valparaiso
VAN,VANDY,Vanderbilt,Vanderbilt Commodores,vanderbilt
VCU,VCU,VCU,VCU Rams,virginia-commonwealth
VILL,NOVA,Villanova,Villanova Wildcats,villanova
VMI,VMI,VMI,VMI Keydets,virginia-military-institute
VT,VATECH,Virginia Tech,Virginia Tech Hokies,virginia-tech
WAG,WAGNER,Wagner,Wagner Seahawks,wagner
WAKE,WAKE,Wake Forest,Wake Forest Demon Deacons,wake-forest
WASH,WASH,Washington,Washington Huskies,washington
WCU,WCAR,Western Carolina,Western Carolina Catamounts,western-carolina
WEB,WEBER,Weber State,Weber State Wildcats,weber-state
WEBB,GWEBB,Gardner-Webb,Gardner-Webb Runnin' Bulldogs,gardner-webb
WICH,WICHST,Wichita State,Wichita State Shockers,wichita-state
WIGB,WISGB,Wisconsin-Green Bay,Green Bay Phoenix,green-bay
WIN,WINTHR,Winthrop,Winthrop Eagles,winthrop
WIS,WISC,Wisconsin,Wisconsin Badgers,wisconsin
WIU,WILL,Western Illinois,Western Illinois Leathernecks,western-illinois
WKU,WKY,Western Kentucky,Western Kentucky Hilltoppers,western-kentucky
WMU,WMICH,Western Michigan,Western Michigan Broncos,western-michigan
WOF,WOFF,Wofford,Wofford Terriers,wofford
WRST,WRIGHT,Wright State,Wright State Raiders,wright-state
WSU,WASHST,Washington State,Washington State Cougars,washington-state
WVU,WVU,West Virginia,West Virginia Mountaineers,west-virginia
WYO,WYO,Wyoming,Wyoming Cowboys,wyoming
XAV,XAVIER,Xavier,Xavier Musketeers,xavier
YALE,YALE,Yale,Yale Bulldogs,yale
YSU,YOUNG,Youngstown State,Youngstown State Penguins,youngstown-state
